run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,2,block_2,67,183,0.268,4.83295363,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,3,block_3,67,183,0.268,5.05944565,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,4,block_4,67,183,0.268,4.0126161,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,5,block_5,67,183,0.268,4.21781046,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,6,block_6,67,183,0.268,5.38196387,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,7,block_7,67,183,0.268,3.95445479,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,8,block_8,67,183,0.268,4.1789269,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,9,block_9,67,183,0.268,4.26465775,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,10,block_10,67,183,0.268,3.86254287,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,11,block_11,67,183,0.268,4.10974172,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,12,block_12,67,183,0.268,4.13693669,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,13,block_13,67,183,0.268,4.49928084,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,14,block_14,67,183,0.268,4.07810243,2;4;3;2;4;4;4;4;4;4;2
