run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K10_sw9_lam0.5_kmax4,10,9,0.5,250,28,5,2,241,50.0,10,5,1821,5179,0.2601,65.04,0.185577,184.96,1.280487,0.203354,35.853649,2.592857,0,85,27,28,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K10_sw9_lam1.0_kmax4,10,9,1.0,250,28,5,2,241,50.0,10,5,1820,5180,0.26,65.0,0.0,185.0,2.328313,0.216549,65.192753,2.6,0,84,28,28,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K15_sw2_lam0.25_kmax4,15,2,0.25,250,28,13,2,83,19.23076923076923,15,13,2020,4980,0.2886,72.14,21.526917,177.86,1.704825,0.550925,47.735104,3.456044,4,84,18,258,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K15_sw2_lam0.5_kmax4,15,2,0.5,250,28,13,2,83,19.23076923076923,15,13,1904,5096,0.272,68.0,0.0,182.0,2.768335,0.55829,77.513387,3.491758,0,84,17,263,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,250,28,13,2,83,19.23076923076923,15,13,1904,5096,0.272,68.0,0.0,182.0,4.888655,0.55829,136.88233,3.491758,0,84,17,263,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,250,28,11,2,124,22.727272727272727,15,11,1997,5003,0.2853,71.32,21.687807,178.68,1.490853,0.460887,41.743892,3.363636,8,79,14,207,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,250,28,11,2,124,22.727272727272727,15,11,1877,5123,0.2681,67.04,0.185577,182.96,2.446724,0.479625,68.508286,3.409091,1,83,13,211,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,250,28,11,2,124,22.727272727272727,15,11,1876,5124,0.268,67.0,0.0,183.0,4.337676,0.496667,121.454922,3.412338,0,84,13,211,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K15_sw5_lam0.25_kmax4,15,5,0.25,250,28,12,2,124,20.833333333333332,15,12,1967,5033,0.281,70.25,21.124842,179.75,1.527238,0.536606,42.762658,3.702381,3,33,25,275,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K15_sw5_lam0.5_kmax4,15,5,0.5,250,28,12,2,124,20.833333333333332,15,12,1849,5151,0.2641,66.04,0.185577,183.96,2.434333,0.552029,68.161312,3.747024,0,29,27,280,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
